"Добор 21-10 (140 мм) шпон венге (Фламенко)",25
"Коробка 21-10 шпон тика ""Эффект"" 35 мм.",20
"Коробка 35 мм с петлями шпон дуб 21-10 ""Пальмира""",500
"Коробка МДФ сосна шпон венге 21-10 (Фламенко)",240
"Коробка МДФ сосна шпон венге 21-13 (Фламенко)",8
"Коробка МДФ сосна шпон ореха 21-13 (Фламенко)",2
"Коробка универ. шпон  вишня 21-13 без петель 40 мм (Сити)",2
"Коробка универ. шпон  орех 21-10 без петель 40 мм (Сити)",30
"Коробка универ. шпон  орех 21-13 без петель 40 мм (Сити)",10
"Коробка шпон красное дерево 21-10 ""Эффект"" 35 мм.",20
"Наличник ""гладкий"" шпон тика 21-10 двуст. ""Эффект""",10
"Наличник 70  мм ""сфера"" (21-13) шпон. вишня  одностор.(Ш)",30
"Наличник 70  мм ""сфера"" (21-13) шпон. орех  одностор.(Ш)",60
"Наличник 75 мм ""Капля"" (21-10) шпон. венге двустор.",60
"Наличник 75 мм ""Капля"" (21-13) шпон. красное дерево одностор.",4
"Наличник 75 мм ""Капля"" (21-13) шпон. темный дуб одностор.",5
